EmployeeID,Name,Age,Salary,Department,JoinDate,City,PerformanceScore,Email
52,John Larsen,50,999999.0,IT ,,Houston,9.3,john.larsen@company.com
4,  WEI ALI  ,27,70806.93,Operations,2022-11-09,Chicago,6.5,wei.ali@company.com
41,Zara Tanaka,56,115325.63,sales,not available,Seattle,5.0,
32,Ingrid Chen,29,64473.18,Marketing,not available,Boston,1.6,ingrid.chen@company.com
71,Sofia Fernandez,58,75345.48,Finance,not available,Boston,7.2,sofia.fernandez@company.com
54,Carlos Wang,39,67394.13,HR,03/15/2020,,5.6,carlos.wang@company.com
26,Ravi Novak,41,94777.88,Finance,2021.06.10,Miami,2.1,ravi.novak@company.com
7,  CARLOS FERNANDEZ  ,52,107499.26,sales,not available,Miami,,carlos.fernandez@company.com
43,Ravi Khan,55,47238.69,  Marketing,03/15/2020,CHICAGO,2.6,ravi.khan@company.com
69,Aisha Garcia,57,-20000.0,HR,,New York,3.5,aisha.garcia@company.com
16,Priya Patel,-5,72910.97,  Marketing,2019-02-15,Phoenix,999.0,priya.patel@company.com
126,Ravi Petrov,57,45794.54,  Marketing,2019-06-12,Houston,9.8,ravi.petrov@company.com
109,Zara Novak,42,104271.26,Sales,,New York,-1.0,zara.novak@company.com
39,Fatima Brown,44,93657.78,  Marketing,not available,,3.4,fatima.brown@company.com
102,Priya Chen,46,102098.64,IT,03/15/2020,CHICAGO,999.0,
131,Priya Larsen,50,95095.21,Sales,not available,CHICAGO,,priya.larsen@company.com
66,Zara Ali,25,111844.89,Marketing,not available,Chicago,,zara.ali@company.com
42,Aisha Hussain,150,63211.84,  Marketing,2021.06.10,new york,3.3,aisha.hussain@company.com
142,Mei Kim,31,45233.91,  Marketing,2019-01-26,New York,7.9,mei.kim@company.com
119,Zara Wang,24,76681.49,  Marketing,,CHICAGO,-1.0,zara.wang@company.com
90,Diego Sharma,42,83752.18,IT,2021.06.10,Phoenix,999.0,diego.sharma@company.com
48,Liam Brown,28,88287.13,Marketing,2022-05-20,,9.3,liam.brown@company.com
68,Sofia Khan,44,35449.51,Marketing,2022-11-07,,9.7,sofia.khan@company.com
96,Carlos Petrov,-5,61753.44,Marketing,,Miami,,carlos.petrov@company.com
15,Emma Hussain,21,113386.63,sales,2021.06.10,Phoenix,999.0,emma.hussain@company.com
85,Olga Chen,0,0.0,  Marketing,03/15/2020,CHICAGO,,olga.chen@company.com
6,Ravi Muller,52,42858.44,  Marketing,not available,,4.6,ravi.muller@company.com
141,Sam Brown,39,0.0,HR,2021.06.10,new york,7.9,sam.brown@company.com
146,Emma Chen,52,80927.1,Sales,not available,new york,1.4,emma.chen@company.com
73,Fatima Larsen,34,109928.19,IT ,2021.06.10,Boston,3.8,fatima.larsen@company.com
5,Aisha Johnson,50,119057.1,Sales,2021.06.10,Chicago,999.0,aisha.johnson@company.com
118,Emma Fernandez,60,103949.52,Marketing,not available,Houston,4.7,emma.fernandez@company.com
13,  GRACE ROSSI  ,48,107745.31,Sales,03/15/2020,Phoenix,5.8,grace.rossi@company.com
15,Emma Hussain,21,113386.63,sales,2021.06.10,Phoenix,999.0,emma.hussain@company.com
25,Ravi Brown,59,64667.59,Sales,,Phoenix,4.3,ravi.brown@company.com
93,Aisha Kim,43,34793.12,sales,2021.06.10,Chicago,-1.0,aisha.kim@company.com
74,Carlos Wang,25,38390.71,IT,,CHICAGO,7.0,carlos.wang@company.com
9,Diego Novak,33,,Operations,2021.06.10,Phoenix,999.0,diego.novak@company.com
28,Diego Wang,31,55540.78,HR,2019-05-17,New York,3.2,diego.wang@company.com
115,Fatima Garcia,27,101540.75,Operations,not available,Miami,1.4,fatima.garcia@company.com
134,  FATIMA SHARMA  ,47,51659.97,Sales,2019-08-11,Boston,,fatima.sharma@company.com
103,Carlos Kim,44,98677.6,Operations,03/15/2020,Chicago,1.2,carlos.kim@company.com
137,  AISHA PETROV  ,30,80614.74,  Marketing,03/15/2020,CHICAGO,6.8,aisha.petrov@company.com
133,Ingrid Hussain,54,105133.95,IT ,03/15/2020,Phoenix,5.1,ingrid.hussain@company.com
44,Carlos Tanaka,23,56292.3,Marketing,not available,Seattle,4.1,carlos.tanaka@company.com
123,Ravi Wang,27,30466.33,IT ,2021.06.10,New York,9.2,ravi.wang@company.com
23,Grace Ali,38,64428.76,HR,03/15/2020,Phoenix,1.2,grace.ali@company.com
18,Zara Lee,27,49183.89,Operations,03/15/2020,Seattle,8.5,zara.lee@company.com
128,Emma Hussain,53,92126.13,HR,not available,,,emma.hussain@company.com
58,Ravi Larsen,45,,Marketing,2019-04-19,Boston,-1.0,ravi.larsen@company.com
24,Kenji Chen,38,65971.05,Marketing,2019-05-15,Chicago,6.4,kenji.chen@company.com
87,Ravi Novak,24,35932.07,sales,2022-12-28,,8.9,
97,Ahmed Wang,23,118293.55,Operations,2022-04-24,Chicago,7.9,ahmed.wang@company.com
59,Fatima Kim,31,111308.17,Sales,03/15/2020,Phoenix,999.0,fatima.kim@company.com
88,Carlos Rossi,40,41605.65,  Marketing,2022-03-22,Miami,-1.0,carlos.rossi@company.com
145,Ahmed Chen,44,80850.2,Marketing,not available,Miami,-1.0,
46,Diego Hussain,49,107415.0,Sales,2021.06.10,Chicago,2.4,diego.hussain@company.com
36,Ingrid Sharma,43,100310.97,HR,03/15/2020,Houston,5.3,ingrid.sharma@company.com
135,Priya Garcia,53,999999.0,Operations,,Phoenix,4.7,
51,Ravi Patel,27,67048.06,sales,2021.06.10,new york,3.9,ravi.patel@company.com
77,Wei Garcia,22,49361.96,Operations,2021.06.10,,6.4,wei.garcia@company.com
35,Carlos Kim,32,64119.35,Operations,not available,new york,8.5,
78,Zara Sharma,26,0.0,IT ,,Chicago,4.1,zara.sharma@company.com
136,Sam Johnson,48,34219.57,  Marketing,2021.06.10,Boston,,sam.johnson@company.com
